,tSNE-1,tSNE-2
F2S4_151223_010_C01,-18.059605839429093,22.558419205393022
F2S4_151223_010_D01,11.85160413962746,19.519718722137625
F2S4_151223_010_E01,10.762430320079469,6.733164162785253
F2S4_151223_010_F01,-19.792302844895747,16.026606449026566
F2S4_151223_010_G01,-3.331248179291409,36.244572614546954
F2S4_151223_011_A01,11.260237854649459,18.236462906692026
F2S4_151223_011_B01,-19.85532949114607,16.13406118684232
F2S4_151223_011_C01,10.363519686714431,8.863415790263321
F2S4_151223_011_D01,9.658776862918353,6.908535217838574
F2S4_151223_011_E01,-2.990051020803864,34.63559902358214
F2S4_151223_011_F01,-4.027749243276427,34.46719140984508
F2S4_151223_011_G01,21.79438950831291,18.788115341414066
F2S4_151223_011_H01,16.152907309970544,25.599259830692663
F2S4_151223_012_A01,-20.464901830944598,15.395795220676007
F2S4_151223_012_B01,-19.378813294744656,17.182391527915776
F2S4_151223_012_C01,12.268886939575514,20.515182781559805
F2S4_151223_012_D01,17.63133076515279,31.146268877520555
F2S4_151223_012_E01,-9.360756598389651,20.965891641114727
F2S4_151223_012_F01,-20.17211723575353,15.989196537432505
F2S4_151223_012_G01,11.943521287458523,20.23700717391291
F2S4_151223_012_H01,15.128585123802184,22.316359370459395
F2S4_151223_013_A01,10.622001036851321,15.54429154988001
F2S4_151223_013_B01,-2.2765657979480998,31.22274161359446
F2S4_151223_013_C01,21.40688577938014,18.885539820947717
F2S4_151223_013_D01,15.311884020967799,22.06252641165591
F2S4_151223_013_E01,10.160163445420025,25.673692713190153
F2S4_151223_013_F01,-10.031159182641334,9.549208076567753
F2S4_151223_013_G01,14.575680781751176,18.91619705498004
F2S4_151223_013_H01,-8.45892293225362,21.592222590720752
F2S4_151223_017_A01,-6.738878375496822,32.164566008798126
F2S4_151223_017_B01,-10.537070649701555,19.683475102495954
F2S4_151223_017_C01,-9.007595900718677,32.85991334463716
F2S4_151223_017_D01,-9.360080539678407,21.245597439607895
F2S4_151223_017_E01,19.23753984861178,6.277786723276831
F2S4_151223_017_F01,-9.996030570748541,31.077466443578988
F2S4_151223_017_G01,-9.895508904905526,30.825527365250384
F2S4_151223_017_H01,-6.9188522692740735,33.762342650945705
F2S4_151223_018_A01,-11.334403921708914,28.896910900647402
F2S4_151223_018_B01,-20.816518896425293,9.608214864374856
F2S4_151223_018_C01,-8.281405531629163,23.832684440827098
F2S4_151223_018_D01,-10.747216055024323,29.87458573644897
F2S4_151223_018_E01,-2.986912016558966,35.77906677598778
F2S4_151223_018_F01,-11.70638197316242,28.398068998060815
F2S4_151223_018_G01,-8.67374743638684,33.22430505747339
F2S4_151223_018_H01,-12.64324840815704,27.115551466458356
