,tSNE-1,tSNE-2
F2S4_151223_009_F01,-0.12350658803153962,73.4860201662823
F2S4_151223_009_G01,52.54288748680788,14.011867777050563
F2S4_151223_009_H01,-45.7223127200375,18.78868845742488
F2S4_151223_010_A01,13.302691991350686,63.82571270217014
F2S4_151223_010_B01,5.335567430541272,64.26633516871095
F2S4_151223_010_C01,-35.848390875413145,7.739217748238761
F2S4_151223_010_D01,47.182713966359984,55.31222934799557
F2S4_151223_010_E01,0.8176825990021577,73.10364056279384
F2S4_151223_010_F01,-55.600722750474624,18.380244136908928
F2S4_151223_010_G01,7.871276633667421,23.09944849290212
F2S4_151223_011_A01,44.50156869599435,57.40363291268038
F2S4_151223_011_B01,-55.7690339404738,18.61320089000612
F2S4_151223_011_C01,10.529126184916066,68.5622878420668
F2S4_151223_011_D01,2.806407250190938,74.1521978613211
F2S4_151223_011_E01,11.607442002987758,18.46989798408427
F2S4_151223_011_F01,8.308199137456608,16.613907445490113
F2S4_151223_011_G01,29.601923405718093,22.789454021160847
F2S4_151223_011_H01,31.71519535721268,15.618355202793476
F2S4_151223_012_A01,-61.94429409289349,27.873704608718707
F2S4_151223_012_B01,-55.348345605891026,16.164089817070558
F2S4_151223_012_C01,41.13362292742531,49.51233043523942
F2S4_151223_012_D01,47.61951390488626,7.445434338836537
F2S4_151223_012_E01,-19.594568827060947,43.003086235708764
F2S4_151223_012_F01,-55.57431222211167,19.631521855742022
F2S4_151223_012_G01,45.74738264296369,52.16130806551242
F2S4_151223_012_H01,41.42561070746254,42.287848903163834
F2S4_151223_013_A01,28.939655332441376,58.92977577692741
F2S4_151223_013_B01,9.698225602843529,6.732031410667037
F2S4_151223_013_C01,27.799148616920437,23.178268188234675
F2S4_151223_013_D01,40.79833664717829,42.5827824082579
F2S4_151223_013_E01,66.9845996662124,25.622765760217877
F2S4_151223_013_F01,-79.72359408718485,5.746202447102832
F2S4_151223_013_G01,32.24287713518294,47.83465223821552
F2S4_151223_013_H01,-13.281189917722692,41.296203029178066
F2S4_151223_017_A01,-1.4734885854211892,20.81134403351901
F2S4_151223_017_B01,-21.05620554330526,49.40450731171749
F2S4_151223_017_C01,-5.841730159340575,13.548335867837396
F2S4_151223_017_D01,-19.35463714980124,42.24163835639825
F2S4_151223_017_E01,-12.59252925859622,61.070280470708035
F2S4_151223_017_F01,-10.465788066987956,14.48556073496361
F2S4_151223_017_G01,-10.542215852795602,14.50094063617874
F2S4_151223_017_H01,-0.6057706706850058,15.215692074329732
F2S4_151223_018_A01,-19.452671569480575,19.638540214305387
F2S4_151223_018_B01,-33.42875535557108,56.56279661838373
F2S4_151223_018_C01,-11.229501581293508,34.848393556458234
F2S4_151223_018_D01,-16.76759770444573,18.590185878077214
F2S4_151223_018_E01,11.438235066785666,23.426939149734423
F2S4_151223_018_F01,-20.668309578630453,19.61249342670974
F2S4_151223_018_G01,-5.732327827427696,13.538756131119083
F2S4_151223_018_H01,-26.62772275863657,18.546033145285623
F2S4_151223_007_A01,-51.0963637948186,12.356642984944655
F2S4_151223_007_B01,-20.653378078150133,20.027645979995867
F2S4_151223_007_C01,-50.49690116463267,12.866877801146103
F2S4_151223_007_D01,-30.82214605273865,9.87151178062169
F2S4_151223_007_E01,37.99577253086229,30.615701289299437
F2S4_151223_007_F01,-52.73019102773682,32.5906230944181
F2S4_151223_007_G01,-36.15532610308148,8.936851564453935
F2S4_151223_007_H01,-33.472826673828685,38.33969248568085
F2S4_151223_008_A01,46.7913820325868,7.910169752701739
F2S4_151223_008_B01,39.16875667880663,28.812344913395105
F2S4_151223_008_C01,-26.033491613544808,37.32242357230723
F2S4_151223_008_D01,4.757776656407531,50.104672165002434
F2S4_151223_008_E01,41.469343956256246,51.5543359761593
F2S4_151223_008_F01,42.909094002865665,4.338869868492521
F2S4_151223_008_G01,-50.401165981756016,34.75386841636034
F2S4_151223_008_H01,-52.65274223725152,12.57958058866486
F2S4_151223_014_A01,11.902920931447486,18.40090132224553
F2S4_151223_014_B01,8.484503181763749,6.024595896397423
F2S4_151223_014_C01,23.62404565851596,60.27484841696929
F2S4_151223_014_D01,-23.090446638182865,40.510609062868696
F2S4_151223_014_E01,4.415279835213549,27.26365451074216
F2S4_151223_014_F01,-5.9792632563247725,13.657477629115103
F2S4_151223_014_G01,-34.15903904314753,37.111881832279664
F2S4_151223_014_H01,-2.717031097008574,15.45999265821606
F2S4_160113_005_A01,-5.184529902368041,-76.09959026237392
